"UNIQUE_ID","ID","QID","URL","AUTHENTICATION","AJAX","STATUS","FIRST_TIME_DETECTED","LAST_TIME_DETECTED","LAST_TIME_TESTED","TIMES_DETECTED","IGNORED","SEVERITY","CATEGORY","CVSS_BASE","CVSS_TEMPORAL","TITLE","GROUP","OWASP","WASC","CWE","DESCRIPTION","IMPACT","SOLUTION","FORM_ENTRY_POINT","PARAM","ACCESS_PATH","DATA","SSL_DETAILS","PAYLOADS"
"9fe21649-c292-46c1-b633-8516357df583","135682","150124","https://www.wildberries.ru/services/besplatnaya-dostavka","Not Required","false","NEW","28 Sep 2020 10:00PM GMT+0300","28 Sep 2020 10:00PM GMT+0300","28 Sep 2020 10:00PM GMT+0300","1","false","3","Confirmed Vulnerability","6.4","5.8","Clickjacking - Framable Page","Information Disclosure","Security Misconfiguration","Insufficient Logging & Monitoring","CWE-451","The web page can be framed. This means that clickjacking attacks against users are possible.
","With clickjacking, an attacker can trick a victim user into clicking an invisible frame on the web page, thereby causing the victim to take an action they did not intend to take.

","Clickjacking prevention mechanisms include:<BR>
- X-Frame-Options: This HTTP response header can be used to prevent framing of web pages.<BR>
- Content-Security-Policy: The 'frame-ancestors' directive can be used to prevent framing of web pages.<BR>
- Framekiller JavaScript code designed to prevent a malicious user from framing the page. This method is not recommended due to its unreliability.<P>

See the <A HREF=""https://cheatsheetseries.owasp.org/cheatsheets/Clickjacking_Defense_Cheat_Sheet.html"" TARGET=""_blank"">OWASP Clickjacking Defense Cheat Sheet</A> for more information.","","none","none","none","none","[{'NUM': '1', 'PAYLOAD': 'N/A', 'REQUEST': {'METHOD': 'GET', 'URL': 'https://www.wildberries.ru/services/besplatnaya-dostavka', 'HEADERS': [['Host', ' www.wildberries.ru\n'], ['User-Agent', ' Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15\n'], ['Accept', ' */*\n']]}, 'RESPONSE': {'CONTENTS': 'The URI was framed.\n'}}]"
"1e1afb0d-d1b7-4990-9cf3-e3c13c272a69","135664","150124","https://www.wildberries.ru/services/voprosy-i-otvety?8_1","Not Required","false","NEW","28 Sep 2020 10:00PM GMT+0300","28 Sep 2020 10:00PM GMT+0300","28 Sep 2020 10:00PM GMT+0300","1","false","3","Confirmed Vulnerability","6.4","5.8","Clickjacking - Framable Page","Information Disclosure","Security Misconfiguration","Insufficient Logging & Monitoring","CWE-451","The web page can be framed. This means that clickjacking attacks against users are possible.
","With clickjacking, an attacker can trick a victim user into clicking an invisible frame on the web page, thereby causing the victim to take an action they did not intend to take.

","Clickjacking prevention mechanisms include:<BR>
- X-Frame-Options: This HTTP response header can be used to prevent framing of web pages.<BR>
- Content-Security-Policy: The 'frame-ancestors' directive can be used to prevent framing of web pages.<BR>
- Framekiller JavaScript code designed to prevent a malicious user from framing the page. This method is not recommended due to its unreliability.<P>

See the <A HREF=""https://cheatsheetseries.owasp.org/cheatsheets/Clickjacking_Defense_Cheat_Sheet.html"" TARGET=""_blank"">OWASP Clickjacking Defense Cheat Sheet</A> for more information.","","none","none","none","none","[{'NUM': '1', 'PAYLOAD': 'N/A', 'REQUEST': {'METHOD': 'GET', 'URL': 'https://www.wildberries.ru/services/voprosy-i-otvety?3_1', 'HEADERS': [['Host', ' www.wildberries.ru\n'], ['User-Agent', ' Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15\n'], ['Accept', ' */*\n']]}, 'RESPONSE': {'CONTENTS': 'The URI was framed.\n'}}]"
"0fd61bae-85f0-41b1-835f-ab995150b8dc","135656","150124","https://www.wildberries.ru/services/voprosy-i-otvety","Not Required","false","NEW","28 Sep 2020 10:00PM GMT+0300","28 Sep 2020 10:00PM GMT+0300","28 Sep 2020 10:00PM GMT+0300","1","false","3","Confirmed Vulnerability","6.4","5.8","Clickjacking - Framable Page","Information Disclosure","Security Misconfiguration","Insufficient Logging & Monitoring","CWE-451","The web page can be framed. This means that clickjacking attacks against users are possible.
","With clickjacking, an attacker can trick a victim user into clicking an invisible frame on the web page, thereby causing the victim to take an action they did not intend to take.

","Clickjacking prevention mechanisms include:<BR>
- X-Frame-Options: This HTTP response header can be used to prevent framing of web pages.<BR>
- Content-Security-Policy: The 'frame-ancestors' directive can be used to prevent framing of web pages.<BR>
- Framekiller JavaScript code designed to prevent a malicious user from framing the page. This method is not recommended due to its unreliability.<P>

See the <A HREF=""https://cheatsheetseries.owasp.org/cheatsheets/Clickjacking_Defense_Cheat_Sheet.html"" TARGET=""_blank"">OWASP Clickjacking Defense Cheat Sheet</A> for more information.","","none","none","none","none","[{'NUM': '1', 'PAYLOAD': 'N/A', 'REQUEST': {'METHOD': 'GET', 'URL': 'https://www.wildberries.ru/services/voprosy-i-otvety', 'HEADERS': [['Host', ' www.wildberries.ru\n'], ['User-Agent', ' Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15\n'], ['Accept', ' */*\n']]}, 'RESPONSE': {'CONTENTS': 'The URI was framed.\n'}}]"
"5512054a-7190-480e-a9be-ddd95d202839","135638","150124","https://www.wildberries.ru/","Not Required","false","NEW","28 Sep 2020 10:00PM GMT+0300","28 Sep 2020 10:00PM GMT+0300","28 Sep 2020 10:00PM GMT+0300","1","false","3","Confirmed Vulnerability","6.4","5.8","Clickjacking - Framable Page","Information Disclosure","Security Misconfiguration","Insufficient Logging & Monitoring","CWE-451","The web page can be framed. This means that clickjacking attacks against users are possible.
","With clickjacking, an attacker can trick a victim user into clicking an invisible frame on the web page, thereby causing the victim to take an action they did not intend to take.

","Clickjacking prevention mechanisms include:<BR>
- X-Frame-Options: This HTTP response header can be used to prevent framing of web pages.<BR>
- Content-Security-Policy: The 'frame-ancestors' directive can be used to prevent framing of web pages.<BR>
- Framekiller JavaScript code designed to prevent a malicious user from framing the page. This method is not recommended due to its unreliability.<P>

See the <A HREF=""https://cheatsheetseries.owasp.org/cheatsheets/Clickjacking_Defense_Cheat_Sheet.html"" TARGET=""_blank"">OWASP Clickjacking Defense Cheat Sheet</A> for more information.","","none","none","none","none","[{'NUM': '1', 'PAYLOAD': 'N/A', 'REQUEST': {'METHOD': 'GET', 'URL': 'https://www.wildberries.ru/', 'HEADERS': [['Host', ' www.wildberries.ru\n'], ['User-Agent', ' Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15\n'], ['Accept', ' */*\n']]}, 'RESPONSE': {'CONTENTS': 'The URI was framed.\n'}}]"
"b518487f-810a-41ae-b2b4-8b5245d05416","135644","150162","https://www.wildberries.ru/","Not Required","false","ACTIVE","28 Sep 2020 10:00PM GMT+0300","07 Oct 2020 09:53PM GMT+0300","07 Oct 2020 09:53PM GMT+0300","13","false","3","Confirmed Vulnerability","6.4","4.9","Use of JavaScript Library with Known Vulnerability","Information Disclosure","Using Components with Known Vulnerabilities","none","CWE-937","The web application is using a JavaScript library that is known to contain at least one vulnerability.","Attackers could potentially exploit the vulnerability in the JavaScript library. The impact of a successful exploit depends on the nature of the vulnerability and how the web application makes use of the library.","Please refer to the information provided in the response section.  Also check the vendor's security advisories related to the vulnerable version of the library.","","none","none","none","none","[{'NUM': '1', 'PAYLOAD': None, 'REQUEST': {'METHOD': 'GET', 'URL': 'https://www.wildberries.ru/', 'HEADERS': [['Host', ' www.wildberries.ru\n'], ['User-Agent', ' Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15\n'], ['Accept', ' */*\n']]}, 'RESPONSE': {'CONTENTS': ""Vulnerable javascript library: jQuery\nversion: 1.8.3\nscript uri: https://static.wbstatic.net/j/jquery.plus.plugins.min.js?2cbfd81d9f6669fa\n\nDetails:\nIn jQuery version before 1.9.0b1 selector interpreted as HTML. This could lead to potential vulnerabilities (https://bugs.jquery.com/ticket/11290).\r\nSolution: jQuery version 1.9.0b1 has been released to address the issue. Please refer to vendor documentation (https://blog.jquery.com/) for the latest security updates.\n\n----------------------------------------------\n\nCVE-2015-9251: jQuery versions on or above 1.4.0 and below 1.12.0 (version 1.12.3 and above but below 3.0.0-beta1 as well) are vulnerable to XSS via 3rd party text/javascript responses(3rd party CORS request may execute). (https://github.com/jquery/jquery/issues/2432).\r\nSolution: jQuery version 1.12.0 has been released to address the issue (http://blog.jquery.com/2016/01/08/jquery-2-2-and-1-12-released/). NOTE: Fix was reverted back in 1.12.2, so version 1.12.3 and above but below 3.0.0-beta1 are vulnerable as well. Please refer to vendor documentation (https://blog.jquery.com/) for the latest security updates.\n\n----------------------------------------------\n\nIn jQuery versions on or above 1.8.0 and below 1.12.0 $.parseHTML has (lots of) XSS. In these versions parseHTML() executes scripts in event handlers. Please refer following resource for more details: https://bugs.jquery.com/ticket/11974, http://research.insecurelabs.org/jquery/test/\n\n----------------------------------------------\n\nCVE-2019-11358: jQuery versions below 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of Object.prototype pollution. An unsanitized source object containing an enumerable __proto__ property could extend the native Object.prototype. Please refer following resources for more details: https://blog.jquery.com/2019/04/10/jquery-3-4-0-released/, https://nvd.nist.gov/vuln/detail/CVE-2019-11358, https://github.com/jquery/jquery/commit/753d591aea698e57d6db58c9f722cd0808619b1b, https://nvd.nist.gov/vuln/detail/CVE-2019-11358.\n\n----------------------------------------------\n\njQuery versions below 3.5.0 used a regex in its jQuery.htmlPrefilter method. This regex which is used to ensure that all tags are XHTML-compliant could introduce a vulnerability to Cross-site Scripting(XSS) attack. Please refer to vendor documentation (https://blog.jquery.com/2020/04/10/jquery-3-5-0-released/ and https://jquery.com/upgrade-guide/3.5/) for the security fix details.\n\n----------------------------------------------\n\nIn jQuery versions greater than or equal to 1.2 and before 3.5.0, passing HTML from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0. Please refer https://github.com/jquery/jquery/security/advisories/GHSA-gxr4-xjj5-5px2 and https://nvd.nist.gov/vuln/detail/CVE-2020-11022 for details.\n\nFound on the following pages (only first 10 pages are reported):\nhttps://www.wildberries.ru/\nhttps://www.wildberries.ru/search/image\nhttps://www.wildberries.ru/services/besplatnaya-dostavka\nhttps://www.wildberries.ru/services/voprosy-i-otvety\nhttps://www.wildberries.ru/services/voprosy-i-otvety?1_1\nhttps://www.wildberries.ru/services/voprosy-i-otvety?2_1\nhttps://www.wildberries.ru/services/voprosy-i-otvety?3_1\nhttps://www.wildberries.ru/services/voprosy-i-otvety?5_1\nhttps://www.wildberries.ru/services/voprosy-i-otvety?6_1\nhttps://www.wildberries.ru/services/voprosy-i-otvety?7_1""}}]"
"2fc881fe-912a-483d-8a23-a0b99825219e","135662","150122","https://www.wildberries.ru/catalog/elektronika/umnyy-dom","Not Required","false","NEW","28 Sep 2020 10:00PM GMT+0300","28 Sep 2020 10:00PM GMT+0300","28 Sep 2020 10:00PM GMT+0300","1","false","2","Confirmed Vulnerability","6.4","5.8","Cookie Does Not Contain The ""secure"" Attribute","Information Disclosure","Sensitive Data Exposure","Insufficient Logging & Monitoring","CWE-614","The cookie does not contain the ""secure"" attribute.
","Cookies with the ""secure"" attribute are only permitted to be sent via HTTPS. Cookies sent via HTTP expose an unsuspecting user to sniffing attacks that could lead to user impersonation or compromise of the application account.","If the associated risk of a compromised account is high, apply the ""secure"" attribute to cookies and force all sensitive requests to be sent via HTTPS.","","__spp","none","none","none","[{'NUM': '1', 'PAYLOAD': 'N/A', 'REQUEST': {'METHOD': 'GET', 'URL': 'https://www.wildberries.ru/catalog/elektronika/umnyy-dom', 'HEADERS': [['Host', ' www.wildberries.ru\n'], ['User-Agent', ' Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15\n'], ['Accept', ' */*\n']]}, 'RESPONSE': {'CONTENTS': ""__spp=\n200 OK\nServer: nginx\nDate: Mon, 28 Sep 2020 19:12:05 GMT\nContent-Type: text/html; charset=utf-8\nTransfer-Encoding: chunked\nConnection: keep-alive\nVary: Accept-Encoding\nCache-Control: no-cache,max-age=300\nSet-Cookie: __spp=0; expires=Mon, 28 Sep 2020 20:22:05 GMT; domain=.wildberries.ru; path=/; httponly\nContent-Security-Policy: frame-ancestors 'self' *.wildberries.ru\nStrict-Transport-Security: max-age=63072000; includeSubDomains\nx-content-type-options: nosniff\nx-xss-protection: 1; mode=block\nContent-Encoding: gzip\nStatus-NO-Id: ngx-site-r06-01.dp\nCache-Status: MISS\n"", 'EVIDENCE': '__spp=0; expires=Mon, 28 Sep 2020 20:22:05 GMT; domain=.wildberries.ru; path=/; httponly'}}]"
"eefd5ec3-ab92-4658-ab4c-35fe7e966bdc","135668","150122","https://www.wildberries.ru/basket/info","Not Required","false","ACTIVE","28 Sep 2020 10:00PM GMT+0300","06 Oct 2020 03:44PM GMT+0300","06 Oct 2020 03:44PM GMT+0300","10","false","2","Confirmed Vulnerability","6.4","5.8","Cookie Does Not Contain The ""secure"" Attribute","Information Disclosure","Sensitive Data Exposure","Insufficient Logging & Monitoring","CWE-614","The cookie does not contain the ""secure"" attribute.
","Cookies with the ""secure"" attribute are only permitted to be sent via HTTPS. Cookies sent via HTTP expose an unsuspecting user to sniffing attacks that could lead to user impersonation or compromise of the application account.","If the associated risk of a compromised account is high, apply the ""secure"" attribute to cookies and force all sensitive requests to be sent via HTTPS.","","BasketUID","none","none","none","[{'NUM': '1', 'PAYLOAD': 'N/A', 'REQUEST': {'METHOD': 'GET', 'URL': 'https://www.wildberries.ru/basket/info', 'HEADERS': [['Host', ' www.wildberries.ru\n'], ['User-Agent', ' Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15\n'], ['Accept', ' */*\n']]}, 'RESPONSE': {'CONTENTS': ""BasketUID=\n200 OK\nServer: nginx\nDate: Tue, 06 Oct 2020 12:45:07 GMT\nContent-Type: application/json; charset=utf-8\nTransfer-Encoding: chunked\nConnection: keep-alive\nSet-Cookie: BasketUID=c1235149-a19f-4c4e-b1ce-b15c25b3c83f; expires=Wed, 06 Jan 2021 12:45:07 GMT; domain=wildberries.ru; path=/; httponly\nncache=0%3B116433_115577_117501_507_3158_119400_2737_117986_1699_1733_6158_117673_119261_120602_117413_119070_118106_119798_119781%3B69_33_68_75_63_64_48_40_30_1_4_31_71_22_38_65_66_70%3B1.0--%3B3_12_15_18; expires=Tue, 06 Oct 2020 13:45:07 GMT; domain=.wildberries.ru; path=/; httponly\nVary: Accept-Encoding, Origin\nAccess-Control-Allow-Credentials: true\nAccess-Control-Allow-Origin: https://www.wildberries.ru\nAccess-Control-Expose-Headers: Shipping-Count,Shipping-Hash,Enable-Group-Shippings\nContent-Security-Policy: frame-ancestors 'self' *.wildberries.ru\nStrict-Transport-Security: max-age=63072000; includeSubDomains\nx-content-type-options: nosniff\nx-xss-protection: 1; mode=block\nShipping-Count: 0\nEnable-Group-Shippings: 1\nContent-Encoding: gzip\nStatus-NO-Id: ngx-site-r04-01.dp\n"", 'EVIDENCE': 'BasketUID=c1235149-a19f-4c4e-b1ce-b15c25b3c83f; expires=Wed, 06 Jan 2021 12:45:07 GMT; domain=wildberries.ru; path=/; httponly'}}]"
"e60975c1-d027-43f9-bbbd-7ce8fd77c212","135712","150122","https://www.wildberries.ru/catalog/12185902/detail.aspx?targetUrl=MI","Not Required","false","ACTIVE","01 Oct 2020 02:47PM GMT+0300","03 Oct 2020 02:00PM GMT+0300","03 Oct 2020 02:00PM GMT+0300","2","false","2","Confirmed Vulnerability","6.4","5.8","Cookie Does Not Contain The ""secure"" Attribute","Information Disclosure","Sensitive Data Exposure","Insufficient Logging & Monitoring","CWE-614","The cookie does not contain the ""secure"" attribute.
","Cookies with the ""secure"" attribute are only permitted to be sent via HTTPS. Cookies sent via HTTP expose an unsuspecting user to sniffing attacks that could lead to user impersonation or compromise of the application account.","If the associated risk of a compromised account is high, apply the ""secure"" attribute to cookies and force all sensitive requests to be sent via HTTPS.","",".AspNetCore.Antiforgery.stpccMUKFUM","none","none","none","[{'NUM': '1', 'PAYLOAD': 'N/A', 'REQUEST': {'METHOD': 'GET', 'URL': 'https://www.wildberries.ru/catalog/12185902/detail.aspx?targetUrl=MI', 'HEADERS': [['Host', ' www.wildberries.ru\n'], ['User-Agent', ' Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15\n'], ['Accept', ' */*\n']]}, 'RESPONSE': {'CONTENTS': "".AspNetCore.Antiforgery.stpccMUKFUM=\n200 OK\nServer: nginx\nDate: Sat, 03 Oct 2020 11:11:53 GMT\nContent-Type: text/html; charset=utf-8\nTransfer-Encoding: chunked\nConnection: keep-alive\nVary: Accept-Encoding\nCache-Control: no-cache, no-store\nSet-Cookie: .AspNetCore.Antiforgery.stpccMUKFUM=CfDJ8NqIwmfFpgtLofR_bkjeCOjs-zAtkulBR5c3lwIS8agnnKiCS9WOB4w6CiJiJ_Ovfj_9bNB8cIWlPh6Q0WC8IFbQCjfjBgcmkc1x2tUPeSjkr9hOmY2a2xZk3KnerYKQsLN2IWEr8b5mq-ssmvKVPMw; path=/; samesite=strict; httponly\nContent-Security-Policy: frame-ancestors 'self' *.wildberries.ru\nStrict-Transport-Security: max-age=63072000; includeSubDomains\nx-content-type-options: nosniff\nx-xss-protection: 1; mode=block\nContent-Encoding: gzip\nStatus-NO-Id: ngx-site-r08-01.dp\nCache-Status: MISS\n"", 'EVIDENCE': '.AspNetCore.Antiforgery.stpccMUKFUM=CfDJ8NqIwmfFpgtLofR_bkjeCOjs-zAtkulBR5c3lwIS8agnnKiCS9WOB4w6CiJiJ_Ovfj_9bNB8cIWlPh6Q0WC8IFbQCjfjBgcmkc1x2tUPeSjkr9hOmY2a2xZk3KnerYKQsLN2IWEr8b5mq-ssmvKVPMw; path=/; samesite=strict; httponly'}}]"
"d4a4b321-d9b0-4bb3-bbc2-16f5c54761dc","135694","150122","https://www.wildberries.ru/menu/getrendered?lang=ru&burger=true&ver=4","Not Required","false","ACTIVE","30 Sep 2020 12:59PM GMT+0300","07 Oct 2020 09:53PM GMT+0300","07 Oct 2020 09:53PM GMT+0300","11","false","2","Confirmed Vulnerability","6.4","5.8","Cookie Does Not Contain The ""secure"" Attribute","Information Disclosure","Sensitive Data Exposure","Insufficient Logging & Monitoring","CWE-614","The cookie does not contain the ""secure"" attribute.
","Cookies with the ""secure"" attribute are only permitted to be sent via HTTPS. Cookies sent via HTTP expose an unsuspecting user to sniffing attacks that could lead to user impersonation or compromise of the application account.","If the associated risk of a compromised account is high, apply the ""secure"" attribute to cookies and force all sensitive requests to be sent via HTTPS.","","ncache","none","none","none","[{'NUM': '1', 'PAYLOAD': 'N/A', 'REQUEST': {'METHOD': 'GET', 'URL': 'https://www.wildberries.ru/menu/getrendered?lang=ru&burger=true&ver=4', 'HEADERS': [['Host', ' www.wildberries.ru\n'], ['User-Agent', ' Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15\n'], ['Accept', ' */*\n']]}, 'RESPONSE': {'CONTENTS': ""ncache=\n200 OK\nServer: nginx\nDate: Wed, 07 Oct 2020 18:53:48 GMT\nContent-Type: text/html\nTransfer-Encoding: chunked\nConnection: keep-alive\nVary: Accept-Encoding\nSet-Cookie: ncache=0%3B116433_115577_117501_507_3158_119400_2737_117986_1699_1733_6158_117673_119261_120602_117413_119070_118106_119798_119781%3B69_33_68_75_63_64_48_40_30_1_4_31_71_22_38_65_66_70%3B1.0--%3B3_12_15_18; expires=Wed, 07 Oct 2020 19:53:48 GMT; domain=.wildberries.ru; path=/; httponly\nContent-Security-Policy: frame-ancestors 'self' *.wildberries.ru\nStrict-Transport-Security: max-age=63072000; includeSubDomains\nx-content-type-options: nosniff\nx-xss-protection: 1; mode=block\nContent-Encoding: gzip\nStatus-NO-Id: ngx-site-r07-01.dp\nCache-Status: MISS\n"", 'EVIDENCE': 'ncache=0%3B116433_115577_117501_507_3158_119400_2737_117986_1699_1733_6158_117673_119261_120602_117413_119070_118106_119798_119781%3B69_33_68_75_63_64_48_40_30_1_4_31_71_22_38_65_66_70%3B1.0--%3B3_12_15_18; expires=Wed, 07 Oct 2020 19:53:48 GMT; domain=.wildberries.ru; path=/; httponly'}}]"
"c1baedd7-2e47-4bdd-b580-f4d1315b3bd3","137024","150122","https://www.wildberries.ru/goods/visited","Not Required","false","ACTIVE","05 Oct 2020 11:28AM GMT+0300","07 Oct 2020 09:53PM GMT+0300","07 Oct 2020 09:53PM GMT+0300","2","false","2","Confirmed Vulnerability","6.4","5.8","Cookie Does Not Contain The ""secure"" Attribute","Information Disclosure","Sensitive Data Exposure","Insufficient Logging & Monitoring","CWE-614","The cookie does not contain the ""secure"" attribute.
","Cookies with the ""secure"" attribute are only permitted to be sent via HTTPS. Cookies sent via HTTP expose an unsuspecting user to sniffing attacks that could lead to user impersonation or compromise of the application account.","If the associated risk of a compromised account is high, apply the ""secure"" attribute to cookies and force all sensitive requests to be sent via HTTPS.","","BasketUID","none","none","none","[{'NUM': '1', 'PAYLOAD': 'N/A', 'REQUEST': {'METHOD': 'GET', 'URL': 'https://www.wildberries.ru/goods/visited', 'HEADERS': [['Host', ' www.wildberries.ru\n'], ['User-Agent', ' Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15\n'], ['Accept', ' */*\n']]}, 'RESPONSE': {'CONTENTS': ""BasketUID=\n200 OK\nServer: nginx\nDate: Wed, 07 Oct 2020 18:53:48 GMT\nContent-Type: application/json\nTransfer-Encoding: chunked\nConnection: keep-alive\nSet-Cookie: BasketUID=63978182-10a3-4349-aa4f-052c3a32dab7; expires=Thu, 07 Jan 2021 18:53:48 GMT; domain=wildberries.ru; path=/; httponly\nncache=0%3B116433_115577_117501_507_3158_119400_2737_117986_1699_1733_6158_117673_119261_120602_117413_119070_118106_119798_119781%3B69_33_68_75_63_64_48_40_30_1_4_31_71_22_38_65_66_70%3B1.0--%3B3_12_15_18; expires=Wed, 07 Oct 2020 19:53:48 GMT; domain=.wildberries.ru; path=/; httponly\nVary: Accept-Encoding, Origin\nAccess-Control-Allow-Credentials: true\nAccess-Control-Allow-Origin: https://www.wildberries.ru\nAccess-Control-Expose-Headers: Shipping-Count,Shipping-Hash,Enable-Group-Shippings\nContent-Security-Policy: frame-ancestors 'self' *.wildberries.ru\nStrict-Transport-Security: max-age=63072000; includeSubDomains\nx-content-type-options: nosniff\nx-xss-protection: 1; mode=block\nContent-Encoding: gzip\nStatus-NO-Id: ngx-site-r07-01.dp\n"", 'EVIDENCE': 'BasketUID=63978182-10a3-4349-aa4f-052c3a32dab7; expires=Thu, 07 Jan 2021 18:53:48 GMT; domain=wildberries.ru; path=/; httponly'}}]"
