"CATEGORY","SEVERITY","CVSS_BASE","OWASP","CWE","TITLE","GROUP","AUTHENTICATION","URL","DESCRIPTION","IMPACT","SOLUTION","QID"
"Information Gathered","1","none","none","none","DNS Host Name","Scan Diagnostics","none","none","The fully qualified domain name of this host, if it was obtained from a DNS server, is displayed in the RESULT section.","N/A","N/A","6"
"Information Gathered","1","none","none","none","SSL Server Information Retrieval","IG","none","none","<P>The following is a list of supported SSL ciphers.<P>
Note: If a cipher is included in this list it means that it was possible to establish a SSL connection using that cipher. There are some web servers setups that allow connections to be established using a LOW grade cipher, only to provide a web page stating that the URL is accessible only through a non-LOW grade cipher. In this case even though LOW grade cipher will be listed here QID 38140 will not be reported.
<P>
","N/A","N/A","38116"
"Information Gathered","1","none","none","none","SSL Session Caching Information","IG","none","none","SSL session is a collection of security parameters that are negotiated by the SSL client and server for each SSL connection. SSL session caching is targeted to reduce the overhead of negotiations in recurring SSL connections. SSL sessions can be reused to resume an earlier connection or to establish multiple simultaneous connections. The client suggests an SSL session to be reused by identifying the session with a Session-ID during SSL handshake. If the server finds it appropriate to reuse the session,  then they both proceed to secure communication with already known security parameters.
<P>
This test determines if SSL session caching is enabled on the host.","SSL session caching is part of the SSL and TLS protocols and is not a security threat. The result of this test is for informational purposes only.","","38291"
"Information Gathered","1","none","none","none","SSL/TLS invalid protocol version tolerance","IG","none","none","SSL/TLS protocols have different version that can be supported by both the client and the server. This test attempts to send invalid protocol versions to the target in order to find out what is the target's behavior. The results section contains a table that indicates what was the target's response to each of our tests.","N/A","N/A","38597"
"Information Gathered","1","none","none","none","SSL Server default Diffie-Hellman prime information","IG","none","none","Diffie-Hellman is a popular cryptographic algorithm used by SSL/TLS. 
- For fixed primes: 1024 and below are considered unsafe.

- For variable primes: 512 is unsafe. 768 is probably mostly safe, but might not be for long. 1024 and above are considered safe.","N/A","N/A","38609"
"Information Gathered","1","none","none","none","SSL/TLS Key Exchange Methods","IG","none","none","The following is a list of SSL/TLS key exchange methods supported by the server, along with their respective key sizes and strengths.","N/A","N/A","38704"
"Information Gathered","1","none","none","none","SSL/TLS Protocol Properties","IG","none","none","The following is a list of detected SSL/TLS protocol properties."," Items include:<P><UL>
<LI>Extended Master Secret: indicates whether the extended_master_secret extension is supported or required by the server. This extension enhances security and is recommended. Applicable to TLSv1, TLSv1.1, TLSv1.2, DTLSv1, DTLSv1.2</LI>
<LI>Encrypt Then MAC: indicates whether the encrypt_then_mac extension is supported or required by the server. This extension enhances the security of non-AEAD ciphers and is recommended. Applicable to TLSv1, TLSv1.1, TLSv1.2, DTLSv1, DTLSv1.2</LI>
<LI>Heartbeat: indicates whether the heartbeat extension is supported. It is not recommended to enable this, except for DTLS. Applicable to TLSv1, TLSv1.1, TLSv1.2, TLSv1.3, DTLSv1, DTLSv1.2</LI>
<LI>Truncated HMAC: indicates whether the truncated_hmac extension is supported. This can degrade security and is not recommended. Applicable to TLSv1, TLSv1.1, TLSv1.2, DTLSv1, DTLSv1.2</LI>
<LI>Cipher priority: indicates whether client, server or both determine the priority of ciphers. Having the server determine the priority is recommended. Applicable to SSLv3, TLSv1, TLSv1.1, TLSv1.2, TLSv1.3, DTLSv1, DTLSv1.2</LI>
</UL>
","N/A","38706"
"Information Gathered","1","none","none","none","SSL Certificate Transparency Information","IG","none","none","<P>SSL Certificate Transparency is an industry effort to improve visibility into the process of how certificate authorities issue certificates. It is designed to allow the owners of domain names to find all certificates that have been issued for their domains, and which certificate authorities have issued them. This is done by requiring certificate authorities to publish all issued certificates in public logs. TLS servers can then provide cryptographic evidence to TLS clients that the server certificate has been registered in public logs, thus providing some degree of confidence that the certificate is legitimate. Such cryptographic evidence is referred to as an ""SCT Log Proof"".
<P>The information below lists all validated SCT Log Proofs for server certificates along with information about the public log, where available.
","N/A","N/A","38718"
"Information Gathered","1","none","none","none","TLS Secure Renegotiation Extension Support Information","IG","none","none","Secure Socket Layer (SSL) and Transport Layer Security (TLS) renegotiation are vulnerable to an attack in which the attacker forms a TLS connection with the target server, injects content of his choice, and then splices in a new TLS connection from a client. The server treats the client's initial TLS handshake as a renegotiation and thus believes that the initial data transmitted by the attacker is from the same entity as the subsequent client data. TLS protocol was extended to cryptographically tierenegotiations to the TLS connections they are being performed over. This is referred to as TLS secure renegotiation extension. This detection determines whether the TLS secure renegotiation extension is supported by the server or not.","N/A","N/A","42350"
"Information Gathered","2","none","none","none","Operating System Detected","Scan Diagnostics","none","none","Several different techniques can be used to identify the operating system (OS) running on a host. A short description of these techniques is provided below. The specific technique used to identify the OS on this host is included in the RESULTS section of your report.
<P>
1) <B>TCP/IP Fingerprint</B>: The operating system of a host can be identified from a remote system using TCP/IP fingerprinting. All underlying operating system TCP/IP stacks have subtle differences that can be seen in their responses to specially-crafted TCP packets. According to the results of this ""fingerprinting"" technique, the OS version is among those listed below. 
<P>
Note that if one or more of these subtle differences are modified by a firewall or a packet filtering device between the scanner and the host, the fingerprinting technique may fail. Consequently, the version of the OS may not be detected correctly. If the host is behind a proxy-type firewall, the version of the operating system detected may be that of the firewall instead of the host being scanned.
<P>
2) <B>NetBIOS</B>: Short for Network Basic Input Output System, an application programming interface (API) that augments the DOS BIOS by adding special functions for local-area networks (LANs). Almost all LANs for PCs are based on the NetBIOS. Some LAN manufacturers have even extended it, adding additional network capabilities. NetBIOS relies on a message format called Server Message Block (SMB). 
<P>
3) <B>PHP Info</B>: PHP is a hypertext pre-processor, an open-source, server-side, HTML-embedded scripting language used to create dynamic Web pages. Under some configurations it is possible to call PHP functions like phpinfo() and obtain operating system information.
<P>
4) <B>SNMP</B>: The Simple Network Monitoring Protocol is used to monitor hosts, routers, and the networks to which they attach. The SNMP service maintains Management Information Base (MIB), a set of variables (database) that can be fetched by Managers. These include ""MIB_II.system.sysDescr"" for the operating system.
","Not  applicable.","Not  applicable.","45017"
"Information Gathered","1","none","none","none","Host Scan Time","Scan Diagnostics","none","none","The Host Scan Time is the period of time it takes the scanning engine to perform the vulnerability assessment of a single target host. The Host Scan Time for this host is reported in the Result section below. 
<P>
The Host Scan Time does not have a direct correlation to the Duration time as displayed in the Report Summary section of a scan results report. The Duration is the period of time it takes the service to perform a scan task. The Duration includes the time it takes the service to scan all hosts, which may involve parallel scanning. It also includes the time it takes for a scanner appliance to pick up the scan task and transfer the results back to the service's Secure Operating Center. Further, when a scan task is distributed across multiple scanners, the Duration includes the time it takes to perform parallel host scanning on all scanners.
<P>
For host running the Qualys Windows agent this QID reports the time taken by the agent to collect the host metadata used for the most recent assessment scan.","N/A","N/A","45038"
"Information Gathered","1","none","none","none","SSL Certificate - Information","IG","none","none","","","","86002"
"Information Gathered","1","none","none","none","Links Crawled","Scan Diagnostics","none","none","The list of unique links crawled and HTML forms submitted by the Web application scanner appear in the Results section. This list may contain fewer links than the maximum threshold defined at scan launch. 
<P>NOTE: This list also includes 
- All the unique links that are reported in QID 150140 (Redundant links/URL paths crawled and not crawled)
- All the forms reported in QID 150152 (Forms Crawled), 
- All the forms in QID 150115 (Authentication Form Found) and 
- Certain requests from QID 150172 (Requests Crawled)","N/A","N/A","150009"
"Information Gathered","1","none","none","none","External Links Discovered","Scan Diagnostics","none","none","The external links discovered by the Web application scanning engine are provided in the Results section. These links were present on the target Web application, but were not crawled.","N/A","N/A","150010"
"Information Gathered","1","none","none","none","Links Rejected By Crawl Scope or Exclusion List","Scan Diagnostics","none","none","One or more links were not crawled because of an explicit rule to exclude them. This also occurs if a link is malformed.
<P>
Black list and white list entries can cause links to be rejected. If a scan is limited to a specific starting directory, then links outside that directory will neither be crawled or tested.
<P>
Links that contain a host name or IP address different from the target application are considered external links and not crawled by default; those types of links are not listed here. This often happens when the scope of a scan is limited to the directory of the starting URL. The scope can be changed in the Web Application Record.
<P>
During the test phase, some path-based tests may be rejected if the scan is limited to the directory of the starting URL and the test would fall outside that directory. In these cases, the number of rejected links may be too high to list in the Results section.","Links listed here were neither crawled or tested by the Web application scanning engine.","A link might have been intentionally matched by a black or white list entry. Verify that no links in this list were unintentionally rejected.","150020"
"Information Gathered","1","none","none","none","Scan Diagnostics","Scan Diagnostics","none","none","This check provides various details of the scan's performance and behavior. In some cases, this check can be used to identify problems that the scanner encountered when crawling the target Web application.","The scan diagnostics data provides technical details about the crawler's performance and behavior. This information does not necessarily imply problems with the Web application.","No action is required.","150021"
"Information Gathered","1","none","none","none","Cookies Collected","Scan Diagnostics","none","none","The cookies listed in the Results section were received from the web application during the crawl phase.","Cookies may contain sensitive information about the user. Cookies sent via HTTP may be sniffed.","Review cookie values to ensure that sensitive information such as passwords are not present within them.","150028"
"Information Gathered","1","none","none","none","Email Addresses Collected","Scan Diagnostics","none","none","The email addresses listed in the Results section were collected from the returned HTML content during the crawl phase.","Email addresses may help a malicious user with brute force and phishing attacks.","Review the email list to see if they are all email addresses you want to expose.","150054"
"Potential Vulnerability","3","6.1","Security Misconfiguration","CWE-772","Slow HTTP POST vulnerability","Information Disclosure","Not Required","https://b2b.rusklimat.com/catalog/product/","The web application is possibly vulnerable to a ""slow HTTP POST"" Denial of Service (DoS) attack. This is an application-level DoS that consumes server resources by maintaining open connections for an extended period of time by slowly sending traffic to the server. If the server maintains too many connections open at once, then it may not be able to respond to new, legitimate connections. Unlike bandwidth-consumption DoS attacks, the ""slow"" attack does not require a large amount of traffic to be sent to the server -- only that the client is able to maintain open connections for several minutes at a time.
<P>
The attack holds server connections open by sending properly crafted HTTP POST headers that contain a Content-Length header with a large value to inform the web server how much of data to expect. After the HTTP POST headers are fully sent, the HTTP POST message body is sent at slow speeds to prolong the completion of the connection and lock up server resources. By waiting for the complete request body, the server is helping clients with slow or intermittent connections to complete requests, but is also exposing itself to abuse.
<P>
Further information can be found under <A HREF=""https://media.blackhat.com/bh-dc-11/Brennan/BlackHat_DC_2011_Brennan_Denial_Service-Slides.pdf"" TARGET=""_blank"">BlackHat_DC_2011_Brennan_Denial_Service-Slides.pdf</A>. ","All other services remain intact but the web server itself becomes inaccessible.","Solution would be server-specific, but general recommendations are:
- to limit the size of the acceptable request to each form requirements
- establish minimal acceptable speed rate
- establish absolute request timeout for connection with POST request
Server-specific details can be found <A HREF=""https://blog.qualys.com/securitylabs/2011/11/02/how-to-protect-against-slow-http-attacks"" TARGET=""_blank"">here</A>. 
A tool that demonstrates this vulnerability in a more intrusive manner is available <A HREF=""https://github.com/shekyan/slowhttptest"" TARGET=""_blank"">here</A>.","150085"
"Information Gathered","1","none","none","none","Cookies Issued Without User Consent","Security Weaknesses","none","none","The cookies listed in the Results section were issued from the web
application during the crawl without accepting any opt-in dialogs.","Cookies may be set without user explicitly agreeing to accept them.","Review the application to ensure that all cookies listed are supposed to be issued without user opt-in.  If the EU Cookie law is applicable for this web application, ensure these cookies require user opt-in or have been classified as exempt by your organization.","150099"
"Information Gathered","1","none","none","none","Third-party Cookies Collected","Security Weaknesses","none","none","The cookies listed in the Results section were received from third-party web application(s) during the crawl phase.","Cookies may contain sensitive information about the user. Cookies sent via HTTP may be sniffed.","Review cookie values to ensure that sensitive information such as passwords are not present within them.","150101"
"Confirmed Vulnerability","2","6.4","Sensitive Data Exposure","CWE-614","Cookie Does Not Contain The ""secure"" Attribute","Information Disclosure","Not Required","https://b2b.rusklimat.com/catalog/product/","The cookie does not contain the ""secure"" attribute.
","Cookies with the ""secure"" attribute are only permitted to be sent via HTTPS. Cookies sent via HTTP expose an unsuspecting user to sniffing attacks that could lead to user impersonation or compromise of the application account.","If the associated risk of a compromised account is high, apply the ""secure"" attribute to cookies and force all sensitive requests to be sent via HTTPS.","150122"
